Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Location
Moxa Nport Device,NP5110+AF8-138,,,00:90:e8:0f:60:3f,,,
Moxa Nport Device,NP5110+AF8-987,,,00:90:e8:0f:63:90,,,
Moxa Nport Device,NP5110+AF8-1373,,,00:90:e8:0f:65:12,,,
Moxa Nport Device,NP5110+AF8-Tarnaors,,,00:90:e8:0f:66:a3,,,
Moxa Nport Device,NP5110+AF8-sarvar,,,00:90:e8:0f:66:a7,,,
Moxa Nport Device,NP5110+AF8-1780,,,00:90:e8:0f:66:a9,,,
Moxa Nport Device,NP5610+AC0-16+AF8-220,,,00:90:e8:0f:68:95,,,
Moxa Nport Device,5232+AC0-N+AF8-6,,,00:90:e8:0f:88:32,,,
Moxa Nport Device,5232+AC0-N+AF8-44,,,00:90:e8:0f:88:58,,,
Moxa Nport Device,NP5230+AF8-766,,,00:90:e8:0f:b0:8c,,,
Moxa Nport Device,NPSDK1558,,,00:90:e8:0f:d7:5a,,,
Moxa Nport Device,NP5110+AF8-434,,,00:90:e8:0f:ec:e0,,,
Moxa Nport Device,KLP+AF8-OKT+AF8-77+AF8-3u,,,00:90:e8:0f:ec:ef,,,
Moxa Nport Device,NP5610+AC0-16+AF8-357,,,00:90:e8:10:05:aa,,,
Moxa Nport Device,NP5230+AF8-676,,,00:90:e8:10:17:5f,,,
Moxa Nport Device,NE+AC0-4100T+AF8-814,,,00:90:e8:10:1c:3d,,,
Moxa Nport Device,NP5110+AF8-240,,,00:90:e8:10:26:a3,,,
Moxa Nport Device,NP5110+AF8-298,,,00:90:e8:10:26:dd,,,
Moxa Nport Device,NPSDK1789,,,00:90:e8:10:37:50,,,
Moxa Nport Device,Rideau,,,00:90:e8:10:38:5d,,,
Moxa Nport Device,NP5110+AF8-718,,,00:90:e8:10:3a:ee,,,
Moxa Nport Device,NP5110+AF8-749,,,00:90:e8:10:3b:0d,,,
Moxa Nport Device,NP5110+AF8-969,,,00:90:e8:10:3b:e9,,,
Moxa Nport Device,MacDonald,,,00:90:e8:10:3c:72,,,
Moxa Nport Device,Morris,,,00:90:e8:10:3d:f1,,,
Moxa Nport Device,Douglas,,,00:90:e8:10:3e:0b,,,
Moxa Nport Device,Megapolis+AF8-Ekb,,,00:90:e8:10:41:9e,,,
Moxa Nport Device,MESN,,,00:90:e8:10:42:cd,,,
Moxa Nport Device,NP5110+AF8-2734,,,00:90:e8:10:42:ce,,,
Moxa Nport Device,NE+AC0-4110A+AF8-265,,,00:90:e8:10:5a:ad,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1321,,,00:90:e8:10:69:05,,,
Moxa Nport Device,NP5110+AF8-1455,,,00:90:e8:10:a3:0d,,,
Moxa Nport Device,NP5110+AF8-1871,,,00:90:e8:10:a4:ad,,,
Moxa Nport Device,NP5210+AF8-309,,,00:90:e8:10:a9:68,,,
Moxa Nport Device,NP5410+AF8-145,,,00:90:e8:10:b5:41,,,
Moxa Nport Device,Kotlownia+AF8-K10,,,00:90:e8:10:cb:eb,,,
Moxa Nport Device,CHANGE+AF8-PASSWORD,,,00:90:e8:10:d3:2c,,,
Moxa Nport Device,NE4100T+AF8-920,,,00:90:e8:10:d3:2d,,,
Moxa Nport Device,ART+AF8-9,,,00:90:e8:10:d7:5e,,,
Moxa Nport Device,ART+AF8-5,,,00:90:e8:10:de:1f,,,
Moxa Nport Device,NE4110S+AF8-712,,,00:90:e8:10:df:29,,,
Moxa Nport Device,TW+AF8-Taichung,,,00:90:e8:10:df:30,,,
Moxa Nport Device,NE+AC0-4110S+AF8-3024,,,00:90:e8:10:df:4d,,,
Moxa Nport Device,Plymouth+AF8-NH,,,00:90:e8:10:df:51,,,
Moxa Nport Device,Braham,,,00:90:e8:10:e0:a8,,,
Moxa Nport Device,NP5210+AF8-340,,,00:90:e8:10:f6:69,,,
Moxa Nport Device,NP5110+AF8-300,,,00:90:e8:10:fd:53,,,
Moxa Nport Device,NP5110+AF8-421,,,00:90:e8:10:fd:cc,,,
Moxa Nport Device,NP5110+AF8-822,,,00:90:e8:10:ff:5d,,,
Moxa Nport Device,NP5110+AF8-1181,,,00:90:e8:11:00:c4,,,
Moxa Nport Device,NP5110+AF8-1493,,,00:90:e8:11:01:fc,,,
Moxa Nport Device,NP5110+AF8-1726,,,00:90:e8:11:02:e5,,,
Moxa Nport Device,LaSalle,,,00:90:e8:11:0a:e7,,,
Moxa Nport Device,JDUC,,,00:90:e8:11:0b:6f,,,
Moxa Nport Device,Goodwin,,,00:90:e8:11:0b:72,,,
Moxa Nport Device,NP5110+AF8-2149,,,00:90:e8:11:0b:7b,,,
Moxa Nport Device,110+AF8-2150+AF8-KM22a,,,00:90:e8:11:0b:7c,,,
Moxa Nport Device,NP5110+AF8-2159,,,00:90:e8:11:0b:85,,,
Moxa Nport Device,NP5110+AF8-2173,,,00:90:e8:11:0b:93,,,
Moxa Nport Device,NP5110+AF8-2227,,,00:90:e8:11:0b:c9,,,
Moxa Nport Device,NP5110+AF8-2284,,,00:90:e8:11:0c:02,,,
Moxa Nport Device,KLP+AF8-IZH+AF8-2+AF8-2u,,,00:90:e8:11:0e:91,,,
Moxa Nport Device,ATC2+AF8-TEMP,,,00:90:e8:11:0e:b0,,,
Moxa Nport Device,Moxa206Temp,,,00:90:e8:11:0e:cb,,,
Moxa Nport Device,NP5110+AF8-1754,,,00:90:e8:11:21:60,,,
Moxa Nport Device,NP6450+AF8-127,,,00:90:e8:11:32:8f,,,
Moxa Nport Device,NP5410+AF8-828,,,00:90:e8:11:40:7b,,,
Moxa Nport Device,NP5210+AF8-70,,,00:90:e8:11:60:56,,,
Moxa Nport Device,NE+AC0-4110A+AF8-285,,,00:90:e8:11:8b:5f,,,
Moxa Nport Device,Kotlownia+AF8-K15,,,00:90:e8:11:96:8d,,,
Moxa Nport Device,Kotlownia+AF8-K14,,,00:90:e8:11:96:9b,,,
Moxa Nport Device,kotlownia+AF8-K4,,,00:90:e8:11:96:ba,,,
Moxa Nport Device,Kotlownia+AF8-K13,,,00:90:e8:11:97:68,,,
Moxa Nport Device,Kotlownia+AF8-K19,,,00:90:e8:11:97:87,,,
Moxa Nport Device,moxa+AC0-msk+AC0-3,,,00:90:e8:11:99:a0,,,
Moxa Nport Device,MOXA+AC0-MC,,,00:90:e8:11:9a:37,,,
Moxa Nport Device,NP5110+AF8-359,,,00:90:e8:11:a5:97,,,
Moxa Nport Device,NP5110+AF8-1159,,,00:90:e8:11:a8:b7,,,
Moxa Nport Device,Stauffer+AF8-Library,,,00:90:e8:11:ab:ca,,,
Moxa Nport Device,FIZ+AF8-235,,,00:90:e8:11:b0:98,,,
Moxa Nport Device,berdyansk,,,00:90:e8:11:b2:b2,,,
Moxa Nport Device,FIZ+AF8-133,,,00:90:e8:11:b4:b4,,,
Moxa Nport Device,NE+AC0-4110S+AF8-1130,,,00:90:e8:11:b4:b8,,,
Moxa Nport Device,NE+AC0-4100T+AF8-13,,,00:90:e8:11:b7:95,,,
Moxa Nport Device,NE+AC0-4100T+AF8-187,,,00:90:e8:11:b8:43,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1093,,,00:90:e8:11:bb:cd,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1128,,,00:90:e8:11:bb:f0,,,
Moxa Nport Device,Matejki+AF8-warsztat,,,00:90:e8:11:c4:9b,,,
Moxa Nport Device,NP5232I+AF8-169,,,00:90:e8:11:c4:b1,,,
Moxa Nport Device,NPIA+AC0-5150+AF8-14+AC0-1,,,00:90:e8:11:cc:c6,,,
Moxa Nport Device,Drury Inn Moxa,,,00:90:e8:11:cf:4f,,,
Moxa Nport Device,HYRS,,,00:90:e8:11:d4:30,,,
Moxa Nport Device,NP5210+AF8-29,,,00:90:e8:11:da:af,,,
Moxa Nport Device,NP5210+AF8-95,,,00:90:e8:11:da:f1,,,
Moxa Nport Device,NE+AC0-4100T+AF8-142,,,00:90:e8:11:e4:1c,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1091,,,00:90:e8:11:e7:d1,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1105,,,00:90:e8:11:e7:df,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1112,,,00:90:e8:11:e7:e6,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1124,,,00:90:e8:11:e7:f2,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1127,,,00:90:e8:11:e7:f5,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1128,,,00:90:e8:11:e7:f6,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1136,,,00:90:e8:11:e7:fe,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1387,,,00:90:e8:11:e8:f9,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1560,,,00:90:e8:11:e9:a6,,,
Moxa Nport Device,GoDigital,,,00:90:e8:11:ea:09,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1660,,,00:90:e8:11:ea:0a,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1670,,,00:90:e8:11:ea:14,,,
Moxa Nport Device,NE+AC0-4100T+AF8-1672,,,00:90:e8:11:ea:16,,,
Moxa Nport Device,NP5150+AF8-331,,,00:90:e8:11:f0:c3,,,
Moxa Nport Device,NP5150+AF8-340,,,00:90:e8:11:f0:cc,,,
Moxa Nport Device,Moxa,,,00:90:e8:11:f1:29,,,
Moxa Nport Device,titova+AF8-41,,,00:90:e8:11:f2:54,,,
Moxa Nport Device,Grant+AF8-Kingston,,,00:90:e8:11:f2:5f,,,
