Vendor,Product,Product Number,Serial Number,MAC,Software,Exclude
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c2:d7,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c2:e9,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c4:6c,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c4:d8,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c4:d8,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c5:17,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c6:e2,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c6:e2,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c7:67,3+AC0-7+AC0-03 release 18,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:c8:36,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:c8:df,3+AC0-8+AC0-05 release 02,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:c9:3d,3+AC0-5 release 83,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:c9:91,3+AC0-5 release 83,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:c9:e1,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:c9:f0,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ca:44,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ca:5d,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ca:6c,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ca:74,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cb:b6,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:3c,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:44,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:5b,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:62,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:a7,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:d9,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cc:f5,3+AC0-5 release 83,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:cd:7b,3+AC0-5 release 83+AF8-03+AF8-69,
