Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Moxa,NP5450,,00:90:e8:14:ee:8b,,,
Moxa,NP5450,,00:90:e8:14:ee:95,,,
Moxa,NE4100T,,00:90:e8:14:ef:02,,,
Moxa,NE4100T,,00:90:e8:14:ef:5a,,,
Moxa,NE4100T,,00:90:e8:14:f0:82,,,
Moxa,NE4100T,,00:90:e8:14:f0:93,,,
Moxa,NE4100T,,00:90:e8:14:f1:fc,,,
Moxa,NE4100T,,00:90:e8:14:f2:c8,,,
Moxa,NE4100T,,00:90:e8:14:f3:70,,,
Moxa,NE4100T,,00:90:e8:14:f4:e4,,,
Moxa,NE4100T,,00:90:e8:14:f5:7e,,,
Moxa,NE4100T,,00:90:e8:14:f5:8a,,,
Moxa,NE4100T,,00:90:e8:14:f5:96,,,
Moxa,NE4100T,,00:90:e8:14:f5:9b,,,
Moxa,NE4100T,,00:90:e8:14:f5:be,,,
Moxa,NE4100T,,00:90:e8:14:f5:c4,,,
Moxa,NE4100T,,00:90:e8:14:f5:d1,,,
Moxa,NP5210,,00:90:e8:15:0b:26,,,
Moxa,NP5210,,00:90:e8:15:0b:29,,,
Moxa,NP5110,,00:90:e8:15:2f:26,,,
Moxa,NP5110,,00:90:e8:15:34:7a,,,
Moxa,NP5110,,00:90:e8:15:3a:9d,,,
Moxa,NP5150,,00:90:e8:15:4c:a6,,,
Moxa,NP5150,,00:90:e8:15:4d:35,,,
Moxa,NP5450,,00:90:e8:15:5f:1f,,,
Moxa,NP5450,,00:90:e8:15:5f:43,,,
Moxa,NP6610,,00:90:e8:15:67:c9,,,
Moxa,NP5110,,00:90:e8:15:69:da,,,
Moxa,NP5110,,00:90:e8:15:69:f8,,,
Moxa,NP5110,,00:90:e8:15:6a:14,,,
Moxa,NP5110,,00:90:e8:15:6a:16,,,
Moxa,NP5110,,00:90:e8:15:6a:1b,,,
Moxa,NP5110,,00:90:e8:15:6a:25,,,
Moxa,NP5110,,00:90:e8:15:6a:2d,,,
Moxa,NP5110,,00:90:e8:15:6a:a0,,,
Moxa,NP5110,,00:90:e8:15:6b:14,,,
Moxa,NP5110,,00:90:e8:15:6b:1a,,,
Moxa,NP5110,,00:90:e8:15:6b:b6,,,
Moxa,NP5110,,00:90:e8:15:6c:5f,,,
Moxa,NP5110,,00:90:e8:15:6c:7b,,,
Moxa,NP5110,,00:90:e8:15:6c:aa,,,
Moxa,NP5110,,00:90:e8:15:6d:46,,,
Moxa,NP5110,,00:90:e8:15:6e:29,,,
Moxa,NP5110,,00:90:e8:15:6e:c7,,,
Moxa,NP5110,,00:90:e8:15:6e:d2,,,
Moxa,NP5110,,00:90:e8:15:6f:42,,,
Moxa,NP5110,,00:90:e8:15:6f:7c,,,
Moxa,NP5110,,00:90:e8:15:6f:85,,,
Moxa,NP5110,,00:90:e8:15:6f:97,,,
Moxa,NP5110,,00:90:e8:15:70:9f,,,
Moxa,NP5110,,00:90:e8:15:71:1c,,,
Moxa,NP5110,,00:90:e8:15:71:80,,,
Moxa,NE4100T,,00:90:e8:15:85:0b,,,
Moxa,NE4100T,,00:90:e8:15:85:29,,,
Moxa,NE4100T,,00:90:e8:15:89:8e,,,
Moxa,NE4100T,,00:90:e8:15:89:af,,,
Moxa,NP5130,,00:90:e8:15:9c:12,,,
Moxa,NP5410,,00:90:e8:15:9e:6f,,,
Moxa,NP5150,,00:90:e8:15:de:2d,,,
Moxa,NP5150,,00:90:e8:15:de:5f,,,
